Name,Category,Key Points / Tips,Priority,Resource Link
Inequalities (basic),Quantitative,"Patterns: range finding, inequality chains, modulus inequalities. Trick: test boundary values and sign changes.",P2,https://www.geeksforgeeks.org/maths/inequalities/
Sequences and Series (AP/GP),Quantitative,"Patterns: nth term, sum, mixed sequences, missing term. Trick: use common difference/ratio; for AP sum use n/2(2a+(n-1)d).",P1,https://www.geeksforgeeks.org/arithmetic-progression/
"Statistics (Mean, Median, Mode)",Quantitative,"Patterns: median in sorted data, grouped data basics, mode identification, outlier effects. Trick: median position=(n+1)/2.",P2,https://www.geeksforgeeks.org/statistics/
Mensuration 2D,Quantitative,"Patterns: areas, perimeters, shaded regions. Trick: compare by ratio scaling; know circle-sector formulas.",P1,https://www.geeksforgeeks.org/aptitude/geometry-and-co-ordinates/
Mensuration 3D,Quantitative,"Patterns: volume-surface area of cube, cuboid, cylinder, cone, sphere; frustum basics. Trick: memorize core formulas; ratio scaling for similar solids.",P1,https://www.geeksforgeeks.org/aptitude/aptitude-questions-and-answers/
Geometry (2D shapes),Quantitative,"Patterns: triangles, circles, polygons, similarity, chord-tangent. Trick: angle chasing + similarity ratios; common Pythagorean triples.",P1,https://www.geeksforgeeks.org/aptitude/geometry-and-co-ordinates/
Coordinate Geometry (basics),Quantitative,"Patterns: distance, midpoint, section formula, slope, line equations. Trick: use slope comparisons for parallel/perpendicular.",P2,https://www.geeksforgeeks.org/coordinate-geometry/
Trigonometry & Heights-Distances,Quantitative,"Patterns: angles of elevation/depression, multi-step triangles. Trick: memorize sin/cos/tan at 0,30,45,60,90; draw diagram first.",P2,https://www.geeksforgeeks.org/aptitude/height-and-distance-questions-aptitude/
Probability,Quantitative,"Patterns: coins/dice/cards, conditional probability, at least one, expected value basics. Trick: use complement for 'at least one'.",P1,https://www.geeksforgeeks.org/probability-formulas-list-basics/
Permutation & Combination,Quantitative,"Patterns: arrangements with repeats, circular permutations, selections with constraints. Trick: translate keywords order matters vs not.",P1,https://www.geeksforgeeks.org/permutation-and-combination-in-maths/
Age Problems,Quantitative,"Patterns: ratio ages, present-past-future equations, average age. Trick: keep timeline clear and write equations before computing.",P2,https://www.geeksforgeeks.org/aptitude/age-questions-and-answers/
Clocks (time-angle),Quantitative,"Patterns: angle between hands, mirror time, gain-loss clock. Trick: minute hand 6 deg/min, hour hand 0.5 deg/min.",P2,https://www.geeksforgeeks.org/maths/clock-angle-problems/
Calendars (day-date),Quantitative,"Patterns: odd days, leap year rules, day-of-week. Trick: anchor to known reference and count mod 7.",P2,https://www.geeksforgeeks.org/maths/calendar-problems/
Blood Relations,Logical Reasoning,"Patterns: direct relations, coded relations, family tree constraints. Tip: draw tree, mark gender and generation level.",P0,https://www.geeksforgeeks.org/aptitude/blood-relation-reasoning/
Direction Sense,Logical Reasoning,"Patterns: multi-turn navigation, shortest distance, final direction. Tip: use compass axes, track coordinates, apply Pythagoras.",P0,https://www.indiabix.com/verbal-reasoning/direction-sense-test/
Coding-Decoding,Logical Reasoning,"Patterns: letter shifts, reverse alphabet, alphanumeric mapping, substitution cipher, matrix coding. Tip: map A=1..Z=26; check alternating patterns.",P0,https://www.geeksforgeeks.org/aptitude/reasoning-tricks-to-solve-coding-decoding/
Series (Number/Letter/Alphanumeric),Logical Reasoning,"Patterns: difference, ratio, squares/cubes, primes, Fibonacci, alternating, mixed letter-number. Tip: compute first and second differences; for letters use positions.",P0,https://www.geeksforgeeks.org/aptitude/number-series-in-quantitative-aptitude/
Seating Arrangement (Line/Circle),Logical Reasoning,"Patterns: circular with facing-in/out, double rows, conditional attributes. Tip: fix one person to break rotation; use constraints table.",P1,https://www.indiabix.com/verbal-reasoning/seating-arrangement/
Ranking and Order,Logical Reasoning,"Patterns: positions from left/right, rank swaps, relative ordering. Tip: convert to positions on a number line and solve systematically.",P1,https://www.indiabix.com/verbal-reasoning/questions-and-answers/
Analogy (verbal reasoning),Logical Reasoning,"Patterns: word relationships, number analogies, figure analogies. Tip: identify relation type: part-whole, cause-effect, function, degree.",P1,https://www.indiabix.com/verbal-reasoning/questions-and-answers/
Classification (odd one out),Logical Reasoning,"Patterns: choose item not fitting rule (semantic, numeric, shape). Tip: test 2-3 plausible rules quickly, eliminate.",P1,https://www.indiabix.com/verbal-reasoning/questions-and-answers/
Venn Diagrams (set logic),Logical Reasoning,"Patterns: overlap counts, union-intersection, syllogism-like set inference. Tip: draw clean sets and track totals, avoid double counting.",P1,https://www.indiabix.com/verbal-reasoning/questions-and-answers/
Syllogisms (Logical Deduction),Logical Reasoning,"Patterns: All/Some/No, possibility cases. Tip: use Venn diagrams, remember converse errors.",P1,https://www.indiabix.com/verbal-reasoning/syllogism/
Statement and Assumption,Logical Reasoning,"Patterns: implicit assumptions, necessary vs sufficient, hidden premises. Tip: check if assumption must be true for statement to hold.",P1,https://www.indiabix.com/logical-reasoning/questions-and-answers/
Statement and Conclusion (inference),Logical Reasoning,"Patterns: must-be-true conclusions, logical inference, syllogistic inference. Tip: reject conclusions introducing new info.",P1,https://www.indiabix.com/logical-reasoning/questions-and-answers/
Statement and Argument,Logical Reasoning,"Patterns: strong vs weak arguments, relevance, scope. Tip: strong arguments are practical and directly address the statement.",P1,https://www.indiabix.com/logical-reasoning/questions-and-answers/
Cause and Effect,Logical Reasoning,"Patterns: identify cause, effect, or both; reverse causality traps. Tip: prefer direct causation and avoid speculative links.",P1,https://www.indiabix.com/verbal-reasoning/questions-and-answers/
Course of Action / Decision Making,Logical Reasoning,"Patterns: best action among options given scenario constraints. Tip: choose feasible, ethical, and directly corrective actions.",P2,https://www.indiabix.com/verbal-reasoning/questions-and-answers/
Logical Games (rule-based),Logical Reasoning,"Patterns: constraints, moves, win/lose, scheduling, allocation. Tip: formalize rules, test edge cases, use elimination.",P1,https://www.indiabix.com/logical-reasoning/logical-games/
Data Sufficiency,Logical Reasoning,"Patterns: determine if statement(s) uniquely answer question. Tip: test A alone, B alone, then combine; avoid full calculation when possible.",P2,https://www.indiabix.com/verbal-reasoning/questions-and-answers/
Critical Reasoning (strengthen/weaken),Logical Reasoning,"Patterns: assumption questions, inference, strengthen, weaken, resolve paradox. Tip: find conclusion, evidence, gap.",P2,https://prepinsta.com/infosys-english-verbal-questions/
Vocabulary: Synonyms,Verbal Ability,"Patterns: direct synonym, contextual synonym, closest meaning. Tip: eliminate wrong parts of speech; learn roots/prefixes.",P0,https://www.geeksforgeeks.org/aptitude/synonyms/
Vocabulary: Antonyms,Verbal Ability,"Patterns: direct antonym, degree-based opposites, contextual antonym. Tip: watch for 'not' traps and near-opposites.",P0,https://www.indiabix.com/verbal-ability/antonyms/
One Word Substitution,Verbal Ability,"Patterns: replace phrase with single word, common exam vocab. Tip: build themed lists: people, places, actions, groups.",P1,https://www.geeksforgeeks.org/aptitude/verbal-ability/
Idioms and Phrases,Verbal Ability,"Patterns: meaning, fill idiom in sentence, error in idiom usage. Tip: learn most frequent idioms and typical contexts.",P1,https://www.geeksforgeeks.org/idioms-and-phrases-solved-questions-and-answers/
Sentence Correction (Grammar),Verbal Ability,"Patterns: subject-verb, tense, modifiers, parallelism, articles, prepositions. Tip: scan for 1-2 core errors, avoid over-editing.",P0,https://www.geeksforgeeks.org/aptitude/sentence-correction-verbal-ability/
Spotting Errors (grammar),Verbal Ability,"Patterns: identify erroneous segment, or no error. Tip: check agreement, pronoun reference, misplaced modifiers first.",P0,https://www.geeksforgeeks.org/spotting-errors/
Cloze Test,Verbal Ability,"Patterns: passage with blanks testing vocab + grammar. Tip: read full passage theme, fill easy grammar blanks first, then meaning-based.",P1,https://www.geeksforgeeks.org/aptitude/verbal-ability/
Fill in the Blanks,Verbal Ability,"Patterns: single blank, double blank, connector-based. Tip: use grammar structure, then meaning; eliminate mismatched tone.",P1,https://prepinsta.com/infosys-english-verbal-questions/
Sentence Completion,Verbal Ability,Patterns: complete sentence logically and grammatically. Tip: predict word before seeing options to avoid bait choices.,P1,https://www.geeksforgeeks.org/english/sentence-completion-with-examples/
Selecting Words (context),Verbal Ability,"Patterns: choose correct word for context, collocations. Tip: focus on tone, tense, and common word pairs.",P1,https://www.geeksforgeeks.org/aptitude/selecting-words-verbal-ability-questions/
Para Jumbles (Sentence Arrangement),Verbal Ability,"Patterns: 4-6 sentence reorder, odd sentence out, paragraph formation. Tip: find opening sentence, track pronouns and connectors.",P1,https://www.geeksforgeeks.org/aptitude/verbal-ability/
Reading Comprehension,Verbal Ability,"Patterns: main idea, inference, tone, vocabulary-in-context, author intent. Tip: map paragraph purpose; avoid extreme options.",P0,https://www.geeksforgeeks.org/aptitude/verbal-ability/
Verbal Analogies,Verbal Ability,"Patterns: word-pair relation, category, function, degree. Tip: name the relation explicitly before choosing.",P1,https://www.geeksforgeeks.org/aptitude/verbal-ability/
Data Interpretation (overview),Data Interpretation,"Core graph reading + arithmetic. Patterns: totals, averages, % change, ratio comparison, max-min, rank. Tip: build quick mental math for % and fractions.",P0,https://www.geeksforgeeks.org/aptitude/data-interpretation-1/
DI: Table Charts,Data Interpretation,"Patterns: row-column operations, multi-year comparison, missing entries. Tip: mark units, compute row totals first.",P0,https://www.indiabix.com/data-interpretation/table-charts/
DI: Bar Graph,Data Interpretation,"Patterns: single bar, multi-bar, stacked bar. Tip: convert to differences quickly and use estimation if options are spaced.",P0,https://www.geeksforgeeks.org/aptitude/data-interpretation-1/
DI: Line Graph,Data Interpretation,"Patterns: trends, slope change, point comparisons, growth rates. Tip: focus on deltas between points and time intervals.",P0,https://byjus.com/govt-exams/data-interpretation-questions/
DI: Pie Chart,Data Interpretation,"Patterns: sector to value, multiple pie comparisons. Tip: memorize common angles: 10%=36°, 25%=90°, 50%=180°.",P0,https://byjus.com/govt-exams/data-interpretation-questions/
DI: Caselet (text-based),Data Interpretation,"Patterns: paragraph data, missing graph, derived values, constraints. Tip: create a mini-table before calculating.",P1,https://byjus.com/govt-exams/data-interpretation-questions/
DI: Mixed Graphs,Data Interpretation,"Patterns: combine bar+line or table+pie; cross-source inference. Tip: solve one variable at a time, avoid mixing units.",P1,https://testbook.com/maths/data-interpretation
Non-Verbal: Mirror Images,Visual Reasoning,"Patterns: left-right inversion, clock-face, letters and shapes. Tip: apply lateral inversion, check distinctive corners.",P0,https://www.indiabix.com/non-verbal-reasoning/mirror-images/
Non-Verbal: Water Images,Visual Reasoning,"Patterns: top-bottom inversion like reflection in water. Tip: flip vertically, keep left-right same.",P0,https://www.indiabix.com/non-verbal-reasoning/questions-and-answers/
Non-Verbal: Paper Folding,Visual Reasoning,"Patterns: fold sequence then punch/cut, predict unfolded. Tip: track symmetry lines, mirror the cut across folds.",P1,https://www.indiabix.com/non-verbal-reasoning/paper-folding/
Non-Verbal: Paper Cutting,Visual Reasoning,"Patterns: folded paper cut shapes, choose correct unfolded. Tip: reflect cuts across each fold layer carefully.",P1,https://www.indiabix.com/non-verbal-reasoning/paper-cutting/
Non-Verbal: Embedded Figures,Visual Reasoning,Patterns: find hidden figure in complex image. Tip: scan edges and distinctive angles first.,P1,https://www.indiabix.com/non-verbal-reasoning/embedded-images/
Non-Verbal: Figure Matrix,Visual Reasoning,"Patterns: 2x2 or 3x3 matrix with transformations. Tip: identify operations per row and per column: rotate, add, subtract, overlay.",P1,https://www.indiabix.com/non-verbal-reasoning/questions-and-answers/
Non-Verbal: Pattern Completion,Visual Reasoning,"Patterns: complete missing figure, sequence of transformations. Tip: focus on one attribute at a time (count, orientation, shading).",P1,https://www.indiabix.com/non-verbal-reasoning/questions-and-answers/
Non-Verbal: Cubes and Dice,Visual Reasoning,"Patterns: net folding, opposite faces, dice rotations. Tip: build opposite-face pairs; use 3-face corner rule.",P1,https://www.indiabix.com/non-verbal-reasoning/cubes-and-dice/
Non-Verbal: Rule Detection,Visual Reasoning,"Patterns: identify governing rule for figure group. Tip: test invariants like number of sides, intersection count, shading parity.",P2,https://www.indiabix.com/non-verbal-reasoning/questions-and-answers/
Non-Verbal: Dot Situation,Visual Reasoning,Patterns: paper folds with dots and symmetry mapping. Tip: treat each fold as reflection of dot positions.,P2,https://www.indiabix.com/non-verbal-reasoning/questions-and-answers/
Psychometric: Situational Judgement Test (SJT),Psychometric,"Patterns: best-most/least effective, rank actions, choose response. Tip: prioritize ethics, clarity, ownership, and collaboration; avoid extreme or evasive responses.",P0,https://www.graduatesfirst.com/psychometrics/situational-judgement-tests
Psychometric: Personality (Big Five),Psychometric,"Patterns: Likert statements, consistency checks, social desirability traps. Tip: be consistent and realistic; do not over-optimize answers.",P1,https://openpsychometrics.org/tests/IPIP-BFFM/
Psychometric: Forced-choice / Ipsative,Psychometric,"Patterns: choose between equally desirable statements, ranking items. Tip: decide which behavior is most like you in work context; consistency matters.",P2,https://www.psychometrictest.org.uk/ipsative-items/
Game-Based Aptitude: Pymetrics-style games,Game Based Aptitude,"Patterns: attention, memory, risk, decision, learning games. Tip: stay calm, optimize for consistent behavior; accuracy before speed unless clearly rewarded.",P1,https://www.careers.ox.ac.uk/article/the-pymetrics-games-overview-and-practice-guidelines
Game-Based Aptitude: Grid/Motion/Switch/Digit challenges,Game Based Aptitude,"Patterns: multitasking, path planning, fast rule switching, digit recall. Tip: develop a stable strategy quickly and avoid strategy thrashing mid-game.",P1,https://prepinsta.com/cognizant/game-based-questions/
Game-Based Aptitude: Company-specific game rounds,Game Based Aptitude,"Patterns: mini-games set, random selection, time-boxed tasks. Tip: practice generic skills: scanning, working memory, decision under time.",P2,https://prepinsta.com/capgemini/capgemini-game-based-aptitude-test-questions/
Cryptarithmetic (Alphametics),Cryptarithmetic,"Patterns: addition/subtraction alphametics, carry constraints, unique digits, leading letter not zero. Tip: solve column-wise from right to left; use constraints to prune early.",P0,https://www.geeksforgeeks.org/dsa/solving-cryptarithmetic-puzzles/
Cryptarithms (general practice),Cryptarithmetic,"Patterns: verbal arithmetic, sometimes with multiple solutions. Tip: list constraints, track used digits, prioritize most constrained letters.",P1,https://www.futurelearn.com/info/courses/recreational-math/0/steps/43523
Essay Writing (WAT/Placement),Essay Writing,"Patterns: opinion, pros-cons, problem-solution, abstract topics. Structure: intro with thesis, 2-3 body points with examples, conclusion summarizing. Tip: outline in 3-5 minutes then write.",P0,https://gdpi.hitbullseye.com/Essay-Writing.php
Essay Writing: Argumentative essay,Essay Writing,"Patterns: take a stance, defend with reasons and evidence, counterargument. Tip: keep thesis debatable and consistent; use transitions.",P1,https://owl.purdue.edu/owl/general_writing/academic_writing/essay_writing/argumentative_essays.html
Essay Writing: Common prompt-types (IELTS-style),Essay Writing,"Patterns: opinion, discussion, advantage-disadvantage, problem-solution, direct questions. Tip: identify prompt type first, then use correct paragraph plan.",P2,https://ieltsliz.com/types-of-ielts-essays/
Logical Puzzles (interview-style),Logical Reasoning,"Patterns: weighing puzzles, river crossing, truth-liar, constraints puzzles. Tip: define state representation, test minimal cases.",P2,https://www.geeksforgeeks.org/aptitude/top-100-puzzles-asked-in-interviews/
Matchstick Puzzles (spatial + arithmetic),Game Based Aptitude,"Patterns: move/add/remove sticks to fix equation or form shapes. Tip: search invariants: match count, shape edges, digit segments.",P2,https://www.geeksforgeeks.org/aptitude/puzzle-36-matchstick-puzzle/
